lat,lon
-11.926388888773186,-76.69486111125848
-11.926555555693511,-76.65505555563844
-11.926296296326495,-76.64842592588535
-11.926722222350177,-76.65755555572208
-11.927055555719727,-76.65422222223091
-11.926944444455826,-76.64083333333627
-11.927222222336452,-76.63125000002603
-11.92750000001137,-76.66194444444741
-11.927500000011376,-76.65638888889187
-11.926944445015863,-76.64327651495762
-11.927916666609274,-76.6558333333218
-11.927777777790151,-76.65077777768906
-11.927793209896434,-76.64841049327524
-11.925770252605258,-76.63786408723882
-11.928333333344701,-76.67611111111412
-11.928472222164826,-76.65527777776626
-11.928611111225344,-76.6768055555823
-11.929062499609625,-76.65600694425311
-11.928611111122489,-76.65111111111409
-11.928611111122475,-76.65000000000296
-11.92800504880986,-76.64603535358083
-11.929000000178982,-76.66427777801559
-11.929027777720385,-76.64499999998854
-11.929444444375303,-76.64208333332117
-11.929444444558685,-76.70402777780497
-11.929583333275934,-76.64527777776632
-11.929444444455811,-76.64472222222518
-11.930000000011384,-76.63055555555849
-11.930555555566947,-76.67694444444746
-11.930833333344703,-76.67666666666968
-11.930925925933487,-76.63092592599452
-11.931666666678044,-76.63000000000294
-11.931666666678037,-76.62944444444737
-11.932222222153273,-76.63041666653345
-11.932638889111704,-76.67708333346722
-11.933055555566929,-76.67638888889189
-11.934444444558743,-76.71347222224955
-11.934444444455828,-76.63138888889182
-11.940138888831454,-76.60083333332219
-11.940486110982654,-76.6000694445329
-11.941388889003226,-76.6004166666922
-11.942277777712565,-76.6012222221542
-11.942777778304064,-76.6004166667828
-11.943333333447708,-76.61069444447014
-11.943333333344718,-76.60944444444735
-11.94464285722667,-76.60960317468283
-11.945555555566926,-76.61472222222513
-11.945555555566937,-76.60083333333621
-11.945709877186728,-76.61327160513054
-11.945740740436213,-76.6088271603479
-11.945833333344728,-76.60055555555843
-11.946111111122491,-76.60000000000288
-11.947777777892183,-76.60958333335901
-11.948492063322892,-76.60130952379977
-11.949305555498064,-76.61861111109984
-11.949598765319118,-76.60030864234184
-11.95129629632629,-76.61481481477384
-11.95219135771297,-76.60487654325834
-11.953472222164722,-76.62722222221089
-11.952293436332473,-76.60817486170103
-11.954583333275837,-76.62972222221087
-11.955000000114474,-76.62902777780376
-11.955277777789167,-76.62833333333627
-11.955833333344723,-76.62944444444737
-11.953715274100402,-76.60274690656139
-11.956111111225612,-76.62902777780376
-11.956018518501539,-76.62768518529369
-11.956388888900294,-76.60527777778066
-11.95666666667807,-76.62833333333627
-11.95712962948247,-76.6040277778794
-11.956944444455845,-76.62805555555849
-11.95715277742167,-76.60961805581283
-11.957407407415188,-76.60296296303144
-11.95763888887649,-76.6112500001907
-11.95847222216468,-76.62999999998866
-11.958611110996394,-76.60875000014737
-11.958500000138727,-76.60394444452601
-11.958333333344719,-76.60305555555844
-11.958888888900276,-76.62972222222515
-11.958888888900287,-76.61166666666955
-11.959166666781176,-76.61319444447018
-11.959479166524417,-76.60465277781638
-11.9599074074375,-76.62953703699613
-11.960000000011396,-76.60416666666956
-11.962194444366066,-76.60436111137473
-11.96555555567012,-76.61875000002581
-11.966111111122512,-76.62444444444738
-11.966527777720199,-76.62388888887757
-11.966944444455859,-76.61666666666957
-11.967611110664535,-76.61572222269486
-11.977962962976232,-76.73629629645278
